CNPJ;Razao Social;Endereco;Telefone;Regime
28.965.295/0001;EDGAR XAVIER FONSECA 05111691910 AVENIDA PICARRAS, 918 , BAIRRO PICARRAS;AVENIDA PICARRAS, 918 , BAIRRO PICARRAS;(41) 3442-2272;PRESUMIDO OU LUCRO REAL
28.982.136/0001;JAIRO FIGUEIRA FERRAZ Fantasia: MEGA CHOPP;AVENIDA ATLANTICA, 2010 LOTE RIP 7587 0100276-;(41) 99924-2777;SIMPLES NACIONAL
28.999.291/0001;D GENOVESKI CHURRASCARIA Fantasia: CHURRASCARIA REI DO ESPETINHO;;"(41) 99954-0460 
(41) 3453-1585";SIMPLES NACIONAL
28.999.291/0002;D GENOVESKI CHURRASCARIA Fantasia: REI DO ESPETINHO;AVENIDA ATLANTICA, 2759 , BAIRRO BREJATUBA;"(41) 99954-0460 
(41) 3453-1585
dg0376";SIMPLES NACIONAL
29.032.391/0001;JHEFFERSON WILLIAN FERREIRA ROCHA 09694514908;AVENIDA XAVIER DA SILVA, 1023 , BAIRRO CENTRO;(41) 99507-8665;PRESUMIDO OU LUCRO REAL
29.057.784/0001;29.057.784 LINA FLAVIA PERES MUCHAGATA RUA VIEIRA DOS SANTOS, 566 , BAIRRO CENTRO;;(41) 99927-1488;SIMPLES NACIONAL
29.092.366/0001;BRISA DO MAR LANCHONETE LTDA Fantasia: BRISA DO MAR;AVENIDA PONTA GROSSA, 134 SALA 8 ANDAR 3;(41) 99934-0169;SIMPLES NACIONAL
29.106.495/0001;DIANA AGOSTINHO DO NASCIMENTO - COMERCIO DE BEBIDAS;AVENIDA PARANA, 15 SALA 02, BAIRRO VILA;(41) 99680-6766;SIMPLES NACIONAL
29.106.495/0002;DIANA AGOSTINHO DO NASCIMENTO - COMERCIO DE BEBIDAS;AVENIDA PARANA, 15 SALA 01, BAIRRO VILA;(41) 99972-4689;SIMPLES NACIONAL
29.123.436/0001;ARLETE DE OLIVEIRA CARDOSO LTDA Fantasia: AOC CONSTRUTORA E INCORPORADORA;;"(41) 98864-9983 
arleteoliveira113";LUCRO PRESUMIDO
29.126.532/0001;BISTRO POUSADA ATLANTICA LTDA AVENIDA ATLANTICA, SN QUADRA0095 LOTE 00007,;AVENIDA ATLANTICA, SN QUADRA0095 LOTE 00007,;"(41) 3442-1572
(41) 99959-4480";SIMPLES NACIONAL
29.151.088/0001;ECP TRANSPORTE DE PASSAGEIROS LTDA Fantasia: ECP TRANSPORTES DE PASSAGEIROS;AVENIDA DUQUE DE CAXIAS, 106 , BAIRRO MIRIM;(41) 99943-9658;SIMPLES NACIONAL
29.233.494/0001;COSTA RAMOS INCORPORADORA LTDA RUA DR. CAETANO MUNHOZ DA ROCHA, 355 ,;;(41) 99988-5319;LUCRO PRESUMIDO
29.408.646/0001;MANUEL ESTEVEZ RODRIGUEZ LTDA Fantasia: MANOLO CONTABILIDADE;;(41) 99998-9184;SIMPLES NACIONAL
29.414.392/0001;OFERLIM CONSTRUCAO CIVIL LTDA Fantasia: OFERLIM CONSTRUCOES;AVENIDA MINAS GERAIS, 135 SALA 3, BAIRRO;(41) 99691-3626;PRESUMIDO OU LUCRO REAL
29.468.210/0001;CEB COMERCIAL LTDA Fantasia: COMERCIAL ACACIA;;"(41) 3364-0937
(41) 3286-3993";SIMPLES NACIONAL
29.469.783/0001;JOAO CARLOS DE SOUZA REPRESENTACOES COMERCIAIS;;(47) 99607-5474;PRESUMIDO OU LUCRO REAL
29.507.041/0001;JANAINA CRISTINA COSTA 03308128900 TRAVESSA nestor raquelle, 30 CASA, BAIRRO;;(41) 3442-5231;PRESUMIDO OU LUCRO REAL
29.525.338/0001;COMERCIO DE ALIMENTOS CONDESSA MACHADO LTDA;;"(41) 3442-2150
(41) 99829-1686 
pingodeouro129";SIMPLES NACIONAL
29.539.929/0001;ISAQUE GUIMARAES MOURINHO 11638077967;AVENIDA DAMIAO BOTELHO DE SOUZA, 312 LOJA;(41) 3472-9111;PRESUMIDO OU LUCRO REAL
29.551.162/0001;ES SISTEMAS DE SEGURANCA E MONITORAMENTO LTDA;;"(41) 3296-2463
cemafiscal1";SIMPLES NACIONAL
29.665.712/0001;ANDERSON DESPACHANTE LTDA Fantasia: DESPACHANTE ANDERSON;;(41) 3442-1976;SIMPLES NACIONAL
29.702.813/0001;GILBERTO SILVANO JUNIOR 10591490951 RUA TOCANTINS, 1181 CASA, BAIRRO CANELA;;"(41) 3442-2656
gilbertosouzasilvano97";PRESUMIDO OU LUCRO REAL
29.705.960/0001;FERNANDA ELOISE TKACHECHEN KERTELT Fantasia: CK ACRILICO ARTE FINAL;;(41) 98424-2596;SIMPLES NACIONAL
29.707.991/0001;L A C MACHADO FABRICACAO DE SORVETES LTDA;;"(41) 3472-4739
(41) 99967-6266";SIMPLES NACIONAL
29.751.479/0001;29.751.479 ADEILSON LIMA DO NASCIMENTO RUA VEREADOR PAULO SAPORSKI FILHO, 2130 ,;;"(41) 99884-7404 
adecoracoes2015";SIMPLES NACIONAL
29.762.819/0001;MEGA CHAMA PRESTADORA DE SERVICOS LTDA;AVENIDA VISCONDE DO RIO BRANCO, 598 SALA 01,;(41) 3335-0624;SIMPLES NACIONAL
29.788.527/0001;PAULO MARCELO DE OLIVEIRA Fantasia: J.F IMPORTACAO E EXPORTACAO;;"(41) 3442-6877
(41) 99747-5831";SIMPLES NACIONAL
29.851.790/0001;CINTIA MACHADO BIOMEDICINA E ESTETICA LTDA;;(41) 99542-7904;SIMPLES NACIONAL
29.877.102/0001;F & G GAS COMERCIO VAREJISTA LTDA Fantasia: F&G TRANSPORTES DE MOVEIS E;;(41) 99819-9299;PRESUMIDO OU LUCRO REAL
29.879.834/0001;VITORIA 10 KIDS LTDA PRACA CEL ALEXANDRE MAFRA, 222 , BAIRRO;;(41) 3442-1572;SIMPLES NACIONAL
29.881.997/0001;BONAZI HOOKA SHOP LTDA AVENIDA ATLANTICA, 134 SALA 7, BAIRRO CENTRO;AVENIDA ATLANTICA, 134 SALA 7, BAIRRO CENTRO;"(41) 99228-9010 
(41) 99999-9465";SIMPLES NACIONAL
29.958.887/0001;CRISTIANNE MOREIRA SO RIBEIRO 00980212901;AVENIDA MANAUS, 64 CASA, BAIRRO COROADOS;(41) 99974-2874;PRESUMIDO OU LUCRO REAL
29.980.788/0001;29.980.788 JACO VEIGA DA ROSA Fantasia: KOFATOR SUPLEMENTOS NATURAIS;;(41) 99924-0149;PRESUMIDO OU LUCRO REAL
29.982.437/0001;ROCCO & ECHER LTDA Fantasia: ROCCO ADMINISTRADORA DE;AVENIDA PONTA GROSSA, 640 SALA 06, BAIRRO;(41) 3472-2001;SIMPLES NACIONAL
29.982.437/0002;ROCCO & ECHER LTDA Fantasia: ROCCO ADMINISTRADORA DE;AVENIDA AV. PONTA GROSSA, 640 SALA 06, BAIRRO;(41) 3472-2001;SIMPLES NACIONAL
30.020.822/0001;EDNILSON RAMOS DE OLIVEIRA Fantasia: MARMITARIA PRATO QUENTE;AVENIDA DAMIAO BOTELHO DE SOUZA, 1996 SALA;(41) 99756-7133;SIMPLES NACIONAL
30.090.246/0001;SHOP NAUTICO INDUSTRIA E COMERCIO DE ARTIGOS NAUTICOS LTDA;AVENIDA PONTA GROSSA, 200 SALA 2, BAIRRO;(41) 98761-3598;PRESUMIDO OU LUCRO REAL
30.139.419/0001;GILMARA FERNANDES CORREA RUIVO - TRANSPORTES;;"(41) 3472-3640
mara_fabio2008";SIMPLES NACIONAL
30.152.905/0001;YRAE HIPNOSE CLINICA LTDA Fantasia: HIPNOCLIN;;"(41) 99974-3253 
(41) 99863-1882";SIMPLES NACIONAL
30.177.664/0001;NAYARA MESSINGER SANTOS Fantasia: EDIL GELO;AVENIDA VISCONDE DO RIO BRANCO, 3900;(41) 3472-6969;SIMPLES NACIONAL
30.204.886/0001;CLECIO JOAO TKACHECHEN Fantasia: LETRAS E APLIQUES EM MDF;;(41) 3472-4501;SIMPLES NACIONAL
30.210.380/0001;MARCOS ANTONIO ALVES PONTES LTDA Fantasia: TATO CONGELADOS;;"(41) 99740-8377 
marcos_pontes11";PRESUMIDO OU LUCRO REAL
30.248.050/0001;D T VIEIRA TECNOLOGIA Fantasia: DORNI TECNOLOGIA;;(41) 3472-1629;PRESUMIDO OU LUCRO REAL
30.249.517/0001;ANTONIO EMILIO CALDEIRA JUNIOR Fantasia: D'MARE;;(41) 3442-1572;SIMPLES NACIONAL
30.258.879/0001;REIS & REIS JUNIOR LTDA Fantasia: RESTAURANTE CALCADAO;;"(41) 99887-9313 
(41) 99637-7424";SIMPLES NACIONAL
30.283.820/0001;M.H. DO NASCIMENTO - ENGENHARIA AVENIDA PICARRAS, 1739 CASA 03, BAIRRO;AVENIDA PICARRAS, 1739 CASA 03, BAIRRO;"(41) 3442-2272
(41) 99807-1919";SIMPLES NACIONAL
30.317.668/0001;CRISTIANE AGUIAR GOMES LTDA RUA IVAI, 927 LOJA 1, BAIRRO PICARRAS;;"(41) 3442-1281
jorgejr76";PRESUMIDO OU LUCRO REAL
30.324.824/0001;JANETE MARIA NEIS - SORVETERIA AVENIDA CURITIBA, 20 LOJA 02 E 03, BAIRRO;AVENIDA CURITIBA, 20 LOJA 02 E 03, BAIRRO;(41) 99640-8931;SIMPLES NACIONAL
30.345.397/0001;EMERSON DE SOUZA LAVA CAR Fantasia: KARECAS LAVA CAR;AVENIDA Parana, 2003 , BAIRRO Cohapar;(41) 99678-8236;SIMPLES NACIONAL
30.387.525/0001;PLANNER & ARTE PERSONALIZADOS LTDA Fantasia: PLANNER & ARTE;;(43) 3270-1226;SIMPLES NACIONAL
30.433.491/0001;PAPELARIA PUFE LTDA Fantasia: PAPELARIA STATUS;AVENIDA GUAIRA, 1173 SALA 01-02, BAIRRO;"(41) 99777-2844 
(44) 99990-6576";SIMPLES NACIONAL
30.499.466/0001;RS COMPANY LTDA Fantasia: SALT GASTRONOMIA;AVENIDA PONTA GROSSA, 1530 , BAIRRO CENTRO;(41) 98842-7354;PRESUMIDO OU LUCRO REAL
30.500.378/0001;MARQUEZIM E MARQUEZIM ARTIGOS DE PRESENTES LTDA;AVENIDA PARANA, 1250 , BAIRRO VILA ESPERANCA;(41) 99552-5666;LUCRO PRESUMIDO
30.520.676/0001;EDUARDO DE SOUZA VARIEDADES LTDA Fantasia: DUSHOP;;"(41) 3472-1252
fiscal5";SIMPLES NACIONAL
30.523.445/0001;30.523.445 MARCOS ROBERTO DA SILVA RUA RUA JOAO CANDIDO, 498 , BAIRRO CENTRO;;(41) 98471-9197;PRESUMIDO OU LUCRO REAL
30.555.192/0001;ALINE SCHEIFER PADILHA LTDA Fantasia: BY NINA;"AVENIDA 29 DE ABRIL, 377 QUADRA 0065;LOTE";(41) 99747-3483;SIMPLES NACIONAL
30.560.237/0001;CONSERVAS DE PALMITO GUARATUBA LTDA AVENIDA TIRADENTES, 755 GALPAO1, BAIRRO;AVENIDA TIRADENTES, 755 GALPAO1, BAIRRO;"(41) 3442-1281
(41) 99921-1281";PRESUMIDO OU LUCRO REAL
30.612.393/0001;ELIANE MOITINHO REAL 03228943950 RUA SAO JOSE DOS PINHAIS, 126 , BAIRRO;;(41) 99984-3658;PRESUMIDO OU LUCRO REAL
30.658.855/0001;EUFRAUSINO CONSTRUCOES LTDA Fantasia: GOIANO CONSTRUTOR;;"(41) 99845-6926 
goianoconstrutor1";SIMPLES NACIONAL
30.673.080/0001;MAURO ALEXANDRE IMOVEIS LTDA AVENIDA MINAS GERAIS, 980 , BAIRRO COROADOS;AVENIDA MINAS GERAIS, 980 , BAIRRO COROADOS;(41) 3472-6521;SIMPLES NACIONAL
30.749.536/0001;F. MARCHI PEREIRA REPRESENTACAO LTDA Fantasia: MARCHI REPRESENTACOES COMERCIAIS;;(41) 98436-0833;SIMPLES NACIONAL
30.770.032/0002;RESOLV SERVICOS DE LIMPEZA E CONSERVACAO LTDA;AVENIDA DOS GUARAS, 1276 SALA 2, BAIRRO;(41) 99979-4821;SIMPLES NACIONAL
30.770.032/0001;RESOLV SERVICOS DE LIMPEZA E CONSERVACAO LTDA;AVENIDA DOS GUARAS, 1276 SALA 1, BAIRRO;(41) 99979-4821;SIMPLES NACIONAL
30.788.906/0001;MECANICA NAUTICA GUARATUBA LTDA RUA UNIAO DA VITORIA, 376 QUADRA322 LOTE 15,;;(41) 99579-7258;SIMPLES NACIONAL
30.800.142/0001;TIAGO DA CONCEICAO PEREIRA Fantasia: TOK DE LIMPEZA;;(41) 99816-4833;SIMPLES NACIONAL
30.800.142/0002;TIAGO DA CONCEICAO PEREIRA Fantasia: TOK DE LIMPEZA;;(41) 3442-1453;SIMPLES NACIONAL
30.872.065/0001;EVERSON POLITA DE FREITAS - RESTAURANTE E CHURRASCARIA;;(41) 3442-5664;SIMPLES NACIONAL
30.889.243/0001;ARIANE ROBERTA LIANDRO SERVICOS DE PINTURA;AVENIDA PONTA GROSSA, 69 LOJA FUNDOS,;(41) 99527-6360;SIMPLES NACIONAL
30.951.215/0001;NEI MARCIO ABRANTES DA SILVA 02415649996;AVENIDA GUAIRACA, 60 , BAIRRO BARRA DO SAI;(41) 3035-3858;PRESUMIDO OU LUCRO REAL
30.959.030/0001;CHAO DE AREIA COMERCIO DE ROUPAS E ACESSORIOS LTDA;AVENIDA ATLANTICA, 2184 , BAIRRO BREJATUBA;(41) 98508-3974;SIMPLES NACIONAL
30.999.682/0001;LUIZ ROBERTO DE FREITAS - MARCENARIA Fantasia: R.D DESIGN MOVEIS;;(41) 99789-3161;SIMPLES NACIONAL
31.002.857/0001;GUARAMED CLINICA MEDICA LTDA Fantasia: GUARAMED;;(47) 99645-2443;SIMPLES NACIONAL
31.003.136/0001;CARLA RENATA DA SILVA 06931107917 10A AVENIDA GUARANI, 1853 CASA 04, BAIRRO;AVENIDA GUARANI, 1853 CASA 04, BAIRRO;"(41) 3442-5402
carlarenata503";PRESUMIDO OU LUCRO REAL
31.021.498/0001;RESTAURANTE SOUZA LTDA Fantasia: CASA DO VO RESTAURANTE E LANCHERIA;AVENIDA PONTA GROSSA, 1352 , BAIRRO CENTRO;(46) 99921-1249;SIMPLES NACIONAL
31.033.386/0001;CLEDSON FLAVIO MALEK NEGOZZEKI LTDA Fantasia: ESTRUTURE LAJES;AVENIDA PARANA, 5607 , BAIRRO ELIANA;(41) 99761-3248;PRESUMIDO OU LUCRO REAL
31.102.175/0001;SADE LTDA Fantasia: BOM SOL PIZZARIA;AVENIDA PONTA GROSSA, 678 , BAIRRO CENTRO;(41) 99155-1443;SIMPLES NACIONAL
31.120.163/0001;CELIO BARCELLO DOLBERTH AVENIDA ALVORADA DO SUL, 693 , BAIRRO;AVENIDA ALVORADA DO SUL, 693 , BAIRRO;(41) 99974-8166;SIMPLES NACIONAL
31.163.224/0001;ALBUQUERQUE & RIBEIRO LTDA RUA SEBASTIAO SATUCA, 60 QUADRA0012 LOTE;;(41) 98437-9397;PRESUMIDO OU LUCRO REAL
31.183.160/0001;CLAUDINEI MARCAL JUNIOR 10455719977 Fantasia: AREA 41;;"(41) 99950-1014 
area41";PRESUMIDO OU LUCRO REAL
31.198.068/0001;IBAITI LANCHES LTDA Fantasia: CACHORRO QUENTE IBAITI;;"(41) 99229-9907 
lucianosr1973";SIMPLES NACIONAL
31.245.973/0001;SEREJA CONSULTORIA MEDICA LTDA RUA APUCARANA, 1151 , BAIRRO CENTRO;;(41) 99625-8696;SIMPLES NACIONAL
31.269.604/0001;STICKER KUSTOM - COMERCIO DE ADESIVOS LTDA;;(43) 99967-3418;SIMPLES NACIONAL
31.269.604/0002;STICKER KUSTOM - COMERCIO DE ADESIVOS LTDA;;(43) 99967-3418;SIMPLES NACIONAL
31.308.823/0001;M.G.U SERVICOS ADMINISTRATIVOS DE ESCRITORIO LTDA;;(41) 3077-2888;SIMPLES NACIONAL
31.311.254/0003;M&C ENSINO DE QUALIDADE LTDA Fantasia: UNIASSELVI - POLO GUARATUBA;AVENIDA CURITIBA, 780 , BAIRRO CENTRO;"(47) 98847-2001 
cassiana15";SIMPLES NACIONAL
31.318.230/0001;RESTAURANTE KAJI LTDA Fantasia: KAJI RESTAURANTE;;(41) 99523-5073;PRESUMIDO OU LUCRO REAL
31.319.881/0001;ALYSSON PAULO CAPONI SERVICOS AUTOMOTIVOS;AVENIDA PARANA, 2351 , BAIRRO COHAPAR;(41) 99950-3411;SIMPLES NACIONAL
31.325.641/0001;L C SANTOS QUADROS & CIA LTDA RUA TEIXEIRA SOARES, 877 , BAIRRO COHAPAR;;(41) 3442-6510;PRESUMIDO OU LUCRO REAL
31.347.320/0001;TEXAS CLUBE DE TIRO LTDA Fantasia: TEXAS CLUB DE TIRO;;"(41) 99746-9000 
(41) 99701-7171";SIMPLES NACIONAL
31.379.570/0001;SARANOY REPRESENTACOES COMERCIAIS LTDA.;;(41) 99717-5330;SIMPLES NACIONAL
31.409.860/0001;RODRIGO MARQUES GRACIANO AVENIDA 29 DE ABRIL ESQUINA COM RUA PE;AVENIDA 29 DE ABRIL ESQUINA COM RUA PE;(43) 99931-4308;PRESUMIDO OU LUCRO REAL
31.431.530/0001;BIG FOOD INDUSTRIA DE ALIMENTOS LTDA Fantasia: BIG FOOD;AVENIDA SENGES, SN QUADRA0066 LOTE 00016,;"(41) 99123-7979 
b8";SIMPLES NACIONAL
31.447.358/0001;GTEL ACESSORIOS E SERVICOS DE TELEFONIA E AUDIO LTDA;AVENIDA RUA PONTA GROSSA, 640 , BAIRRO;(41) 3000-0000;LUCRO PRESUMIDO
31.497.459/0001;JEAN MARCEL SMAGNOTO RAMOS Fantasia: AGORA CONTABILIDADE;;(41) 3442-2175;SIMPLES NACIONAL
31.509.189/0001;ROMAO & CORREA LTDA Fantasia: DUD'S BURGER;AVENIDA 29 DE ABRIL, 939 LOJA 08, BAIRRO;(47) 99999-0339;SIMPLES NACIONAL
31.531.629/0001;FELIPE GONCALVES GOULART AVENIDA PARANA, 2357 , BAIRRO VILA ESPERANCA;AVENIDA PARANA, 2357 , BAIRRO VILA ESPERANCA;(41) 3472-1704;PRESUMIDO OU LUCRO REAL
31.546.350/0001;CASA BAMBOO CAMA, MESA E BANHO LTDA Fantasia: CASA BAMBOO CAMA, MESA E BANHO;;(41) 3472-6877;SIMPLES NACIONAL
31.567.815/0001;DANIELE CRISTINA MAZORCA OSORIO VITALE - PEIXARIA;AVENIDA MINAS GERAIS, 9 SALA 5, BAIRRO;(41) 99940-8214;SIMPLES NACIONAL
31.574.728/0001;PANIFICADORA & CONFEITARIA NICHELE LTDA;;"(41) 99807-2856 
(41) 99861-1073";SIMPLES NACIONAL
31.620.664/0001;FLORICULTURA ROSA DOS VENTOS LTDA Fantasia: ECOFLORA ROSA DOS VENTOS;;(41) 99283-7892;SIMPLES NACIONAL
31.692.426/0001;CHRISTYAN RODRIGUES DE ALMEIDA LTDA Fantasia: ISABELA MOVEIS PLANEJADOS;AVENIDA PARANA, 1610 , BAIRRO VILA ESPERANCA;"(41) 3442-6150
(41) 98512-8842";PRESUMIDO OU LUCRO REAL
31.739.159/0001;BJ7 CONSULTORIA EMPRESARIAL LTDA Fantasia: BJ7 CONSULTORIA EMPRESARIAL LTDA;;(41) 99628-4119;SIMPLES NACIONAL
31.740.169/0001;CASA LIMPA COMERCIAL LTDA Fantasia: CASA LIMPA;AVENIDA DAMIAO BOTELHO DE SOUZA, 234 ,;(41) 99943-8663;SIMPLES NACIONAL
31.740.720/0001;31.740.720 FRANCIELLE KLER 10A RUA RUA DOUTOR MENELEU DE ALMEIDA;;(41) 3411-8956;PRESUMIDO OU LUCRO REAL
31.775.716/0001;IZAKI CONSTRUTORA LTDA Fantasia: IZAKI ADMINISTRADORA DE BENS LTDA;;(41) 99654-5496;SIMPLES NACIONAL
31.778.039/0005;GIACOMITTI PHOSTER EDUCACIONAL LTDA Fantasia: INSTITUTO REFERENCIA;AVENIDA AV.CURITIBA, 723 SALA 02, BAIRRO;(41) 98500-2700;SIMPLES NACIONAL
31.787.080/0001;DAIANE GENOVESKI DE SOUZA Fantasia: VIPI HALL;AVENIDA 29 DE ABRIL, 809 , BAIRRO CENTRO;"(41) 99114-5154 
(41) 3393-3436
diegosouza0307";SIMPLES NACIONAL
31.799.025/0001;VAGNER GAVA - MATERIAIS DE CONSTRUCAO LTDA;;"(41) 3442-1062
(41) 99925-1062";SIMPLES NACIONAL
31.801.353/0001;GUARATUBA CONVENIENCIAS LTDA Fantasia: BR MANIA;AVENIDA 29 DE ABRIL, 965 LOTE 00011;(41) 99947-7666;SIMPLES NACIONAL
31.863.993/0002;HB ELECTRIC COMPANY ENERGIA SOLAR LTDA;;(41) 99985-7488;SIMPLES NACIONAL
31.905.802/0001;KARONLAY LUANA ALVES DA VEIGA MACHADO - PADARIA;;(41) 99895-1104;SIMPLES NACIONAL
31.929.822/0001;JESSE JAMES DINIZ - CALHAS LTDA Fantasia: CALHAS JAMES;AVENIDA DOS GUARAS, 601 , BAIRRO PICARRAS;"(41) 99827-3759 
jesse.diniz21";SIMPLES NACIONAL
31.936.643/0001;ESCRITEK REGULARIZE LTDA Fantasia: ESCRITEK REGULARIZE;;(41) 98805-8735;SIMPLES NACIONAL
31.949.641/0001;KAREN MELLO DA SILVA LTDA Fantasia: M & B EMPREENDIMENTOS;;(41) 99191-0506;PRESUMIDO OU LUCRO REAL
31.962.299/0001;E M MAYRHOFER EMANUEL MARCELO MAYRHOFER BEBIDAS;;(41) 3042-9269;SIMPLES NACIONAL
32.055.384/0001;DAISEN UTILIDADES E PRESENTES LTDA Fantasia: DAISEN UTILIDADES E PRESENTES;;(42) 99937-8622;SIMPLES NACIONAL
32.079.978/0001;ARESTA EDUCACAO LTDA Fantasia: ARESTA EDUCACAO;;(41) 99602-0256;SIMPLES NACIONAL
32.106.184/0001;G BERGER Fantasia: BERGER MARTELINHO DE OURO;;"(41) 98787-9238 
(41) 99636-5056 
geroldyberger1991";SIMPLES NACIONAL
32.157.298/0001;RI COZINHAS PARA CAMINHAO LTDA Fantasia: R.I COZINHAS PARA CAMINHAO;AVENIDA VISC RIO BRANCO, 63 , BAIRRO COROADOS;"(41) 3117-1001
masterplus2010";SIMPLES NACIONAL
32.158.292/0001;MILENA CLARINDA DE SOUZA LTDA Fantasia: HELP ESQUADRIAS DE ALUMINIO;AVENIDA MAFRA, 1474 , BAIRRO PICARRAS;(41) 99726-4781;SIMPLES NACIONAL
32.168.344/0001;BRUNO DA SILVA CARVALHO LTDA Fantasia: ESQUADRIA CARVALHO;;(41) 99863-3307;SIMPLES NACIONAL
32.185.103/0001;ANA CAROLINA FERREIRA COSTA 10224232908;;(41) 3669-7346;PRESUMIDO OU LUCRO REAL
32.202.305/0001;MECTOOLS FERRAMENTAS ESPECIAIS LTDA Fantasia: MECTOOLS FERRAMENTAS ESPECIAIS;;(41) 99922-5616;SIMPLES NACIONAL
32.202.326/0001;VLB ENTREPOSTO DE PESCADOS - ATACADO, VAREJO E IMPORTADOS LTDA;;(47) 99733-9800;SIMPLES NACIONAL
32.253.636/0001;HUDSON DE OLIVEIRA RIBEIRO Fantasia: GRUPO CASCAVEL INCORPORADORA;;(41) 3345-8877;PRESUMIDO OU LUCRO REAL
32.312.959/0001;JOACIR SERAFIM - COMERCIO DE PEIXE Fantasia: PEIXARIA DO JOACIR;;(41) 99943-4925;SIMPLES NACIONAL
32.390.508/0003;COROADOS MATERIAIS ELETRICOS LTDA. RUA GENEROSO MARQUES, 1143 , BAIRRO CENTRO;;(42) 3025-6309;PRESUMIDO OU LUCRO REAL
32.390.508/0001;COROADOS MATERIAIS ELETRICOS LTDA. AVENIDA PARANA, 4 LOJA 01, BAIRRO COROADOS;AVENIDA PARANA, 4 LOJA 01, BAIRRO COROADOS;"(41) 3472-2700
(41) 99965-9025";PRESUMIDO OU LUCRO REAL
32.390.934/0001;LEANDRO LUIZ LOPES - PAPELARIA Fantasia: PAPELARIA AQUARELA;;"(41) 99544-9835 
papelariaquarela1357";SIMPLES NACIONAL
32.508.479/0001;ALEXANDRE & AMORIM - COMERCIO DE ALARMES LTDA;;"(41) 3473-1598
(41) 99984-6072";SIMPLES NACIONAL
32.534.328/0001;VCM - SERVICOS DE APOIO ADMINISTRATIVO LTDA.;AVENIDA PONTA GROSSA, 640 LOJA 04, BAIRRO;"(41) 98823-4244 
(41) 99681-9969";SIMPLES NACIONAL
32.567.884/0001;NICOLE TAVARES & TINO ROSSONI COMERCIO DO VESTUARIO LTDA;AVENIDA 29 DE ABRIL, 603 , BAIRRO CENTRO;(41) 99682-0321;SIMPLES NACIONAL
32.577.158/0001;WELLINGTON STRAPASSON E CIA LTDA Fantasia: PALMEIRAS REPRESENTACOES;;(41) 98410-6610;SIMPLES NACIONAL
32.677.290/0001;R DE F DE FREITAS MOVEIS AVENIDA VISCONDE DO RIO BRANCO, 6010 BRCAO,;AVENIDA VISCONDE DO RIO BRANCO, 6010 BRCAO,;(42) 99869-2483;SIMPLES NACIONAL
32.683.687/0001;TEX NEGOCIOS DIGITAIS LTDA RUA DR. CAETANO MUNHOZ DA ROCHA, 1275 APT;;"(42) 99238-4126 
felipegoulart88";SIMPLES NACIONAL
32.695.288/0001;SPAPET BANHO E TOSA LTDA Fantasia: SPA PET BANHO E TOSA;;(41) 99927-0294;PRESUMIDO OU LUCRO REAL
32.711.892/0001;CASTELINHO RESTAURANTE LTDA Fantasia: RESTAURANTE CASTELINHO;AVENIDA VISCONDE DO RIO BRANCO, SN LOTE A1-;(41) 99133-0606;SIMPLES NACIONAL
32.773.730/0001;ORLEI AUGUSTO COSTA DOS SANTOS JUNIOR AVENIDA PARANA, 13 , BAIRRO COHAPAR;AVENIDA PARANA, 13 , BAIRRO COHAPAR;(41) 3442-2434;SIMPLES NACIONAL
32.805.036/0001;DELCI WILIAN DA ROCHA GANDOLFI - TRANSPORTES LTDA;;(41) 99966-3665;PRESUMIDO OU LUCRO REAL
32.877.491/0001;BONFANTE & BONFANTE ADMINISTRADORA E CORRETORA DE SEGUROS LTDA;AVENIDA SAO PAULO, 1958 QUADRA0003 LOTE;"(41) 3442-2224
(41) 3308-5083";SIMPLES NACIONAL
32.901.033/0001;T HIROSCHI SHINDO - BEBIDAS RUA RUA TEN ALFREDO CAETANO DOS SANTOS;;(41) 99744-6451;SIMPLES NACIONAL
32.935.258/0001;WN CONVENIENCIAS LTDA Fantasia: WN CONVENIENCIAS;AVENIDA PARANA, 1096 LOJA 1, BAIRRO VILA;(41) 3442-1991;SIMPLES NACIONAL
32.946.739/0001;ANTONIO JOAQUIM CORREIA POLIDO RUA SATURNINO DAS NEVES, 11 , BAIRRO CAIEIRAS;;(41) 99898-4149;SIMPLES NACIONAL
32.960.822/0001;D&R RAQUELLE RESTAURANTE LTDA Fantasia: CANTINA NONA GENA;;(41) 99870-0509;SIMPLES NACIONAL
33.070.345/0001;ARZAO METAIS LTDA Fantasia: DANIEL METAIS;;(41) 98713-0495;SIMPLES NACIONAL
33.076.545/0001;AMAURI ROMEU BUDAL GUIMARAES REPRESENTACOES COMERCIAIS;AVENIDA AVENIDA VISCONDE DO RIO BRANCO, 3942;(41) 99992-1770;SIMPLES NACIONAL
33.102.928/0001;M. P. CONSTRUTORA GUARATUBA LTDA Fantasia: M. P. CONSTRUTORA;;(41) 99772-4569;SIMPLES NACIONAL
33.115.667/0001;CACIQUE DISTRIBUICAO DE BEBIDAS E PRODUTOS ALIMENTICIOS LTDA;;(41) 99894-9272;SIMPLES NACIONAL
33.132.346/0001;HAUSEN INCORPORADORA DE IMOVEIS LTDA Fantasia: HAUSEN INCORPORADORA DE IMOVEIS;AVENIDA 29 DE ABRIL, 548 SALA 03, BAIRRO;(41) 3472-2000;LUCRO PRESUMIDO
